,xd,article_id,response,qid
145,Jun-26,5430,0,430968
146,Jun-26,4245,1,430968
147,Oct-30,2050,0,430968
148,Mar-27,3755,0,430968
149,May-30,8410,1,430968
150,Jul-24,8218,1,430968
151,Mar-27,2631,0,430968
152,Mar-27,2852,1,430968
153,Sep-26,2601,0,430968
154,Jun-26,4234,0,430968
155,Jun-26,4326,0,430968
156,Aug-28,1561,0,430968
157,Feb-27,9237,0,430968
158,Jan-30,1226,1,430968
159,Jun-26,6200,0,430968
160,Mar-27,8952,0,430968
161,Oct-30,2272,0,430968
162,Mar-27,2923,0,430968
163,Apr-25,5357,0,430968
164,Oct-30,3792,0,430968
165,May-30,9893,0,533542
166,Jun-26,4234,0,533542
167,Feb-27,9237,0,533542
168,Feb-27,6184,0,533542
169,Jan-30,5473,0,533542
170,May-30,8410,0,533542
171,Mar-27,4434,0,533542
172,Jun-26,8218,0,533542
173,Apr-25,2229,1,533542
174,Sep-26,1561,0,533542
175,Mar-27,3755,0,533542
176,Sep-26,8952,0,533542
177,Jan-30,5788,0,533542
178,Mar-27,8809,0,533542
179,Jun-26,5430,0,533542
180,Aug-28,8952,0,533542
181,Apr-25,8485,1,533542
182,Jan-30,9953,0,533542
183,May-30,4234,1,533542
184,Jan-30,7197,1,533542
185,Mar-27,2852,1,533542
186,Aug-28,4234,0,533542
187,Feb-27,2923,0,533542
188,May-30,5742,0,533542
189,Mar-27,3755,1,533542
190,Oct-30,9922,0,533542
191,Sep-26,8987,0,533542
192,Jul-24,8218,0,533542
193,Aug-28,4380,0,533542
194,Jun-26,5742,0,533542
195,May-30,5239,0,533542
196,Apr-25,1226,0,533542
197,Oct-30,9893,0,533542
198,Feb-27,7697,0,533542
199,May-30,8952,0,533542
200,May-30,6200,0,533542
201,Sep-26,4234,0,533542
202,Aug-28,9492,0,533542
203,Jan-30,9897,0,533542
204,May-30,3246,0,533542
205,Sep-26,5326,0,533542
206,Jan-30,1226,1,533542
207,Feb-27,5259,1,533542
208,Oct-30,3792,0,533542
209,Mar-27,2923,0,533542
210,Jul-24,4234,0,533542
211,Jul-24,8952,0,533542
212,Apr-25,8952,0,533542
213,Oct-30,8952,0,533542
214,Mar-27,2631,0,533542
215,Oct-30,2050,0,533542
216,Mar-27,8962,0,533542
217,Aug-28,6379,0,533542
218,Aug-28,1561,0,533542
219,Apr-25,8410,1,533542
220,May-30,1320,0,533542
221,May-30,4909,1,533542
222,Apr-25,5357,0,894173
223,May-30,4909,0,894173
224,Jun-26,4234,0,894173
225,Sep-26,5326,0,894173
226,Jun-26,4326,0,894173
227,Apr-25,8410,0,894173
228,Mar-27,2852,1,894173
229,Mar-27,2631,1,894173
230,Jun-26,5742,0,894173
231,Jan-30,4458,1,894173
232,Mar-27,8952,0,894173
233,Sep-26,2601,0,894173
234,Mar-27,5919,0,894173
235,Jan-30,9469,0,894173
236,Oct-30,2050,0,894173
237,Mar-27,3755,0,894173
238,May-30,9893,0,894173
239,May-30,5239,0,894173
240,Jul-24,5742,0,894173
241,May-30,4234,0,894173
242,May-30,3246,0,894173
243,Apr-25,2229,0,894173
244,Apr-25,4234,0,894173
245,Feb-27,5951,1,894173
246,Oct-30,8952,0,894173
247,Mar-27,2923,1,894173
248,Sep-26,4234,0,894173
249,Apr-25,8485,0,894173
250,Jan-30,5473,0,894173
251,Aug-28,8987,0,894173
252,May-30,8410,0,894173
253,Jun-26,4245,0,894173
254,Jul-24,8921,0,894173
255,Jan-30,1226,0,894173
256,Aug-28,1561,0,894173
257,Apr-25,1226,0,894173
258,Jul-24,4234,0,894173
259,Mar-27,8809,0,894173
260,Aug-28,4234,0,894173
261,Oct-30,9922,0,894173
262,Aug-28,5925,0,894173
263,Apr-25,8952,0,894173
264,Jul-24,8218,0,894173
265,Feb-27,7697,0,894173
266,Jul-24,9800,0,894173
267,Sep-26,8952,1,894173
268,Sep-26,8987,0,894173
269,Jan-30,7197,1,894173
270,Jul-24,6379,0,894173
271,Sep-26,1561,0,894173
272,Jun-26,8952,0,894173
273,Feb-27,7387,0,894173
274,May-30,1320,0,894173
275,Apr-25,1073,0,894173
276,Aug-28,4234,0,899009
277,Aug-28,4380,0,899009
278,Feb-27,8407,1,899009
279,Apr-25,1073,0,899009
280,Apr-25,5172,0,899009
281,Mar-27,8952,0,899009
282,Sep-26,4807,0,899009
283,Oct-30,8952,0,899009
284,Jan-30,9897,1,899009
285,May-30,5742,0,899009
286,May-30,3246,1,899009
287,Jul-24,4380,0,899009
288,Sep-26,5326,0,899009
289,Oct-30,2272,0,899009
290,Jun-26,6200,0,899009
291,Mar-27,2852,0,899009
292,Mar-27,5919,0,899009
293,Apr-25,1226,0,899009
294,Jun-26,8218,0,899009
295,Jun-26,5430,1,899009
296,Apr-25,4362,0,899009
297,Sep-26,1561,0,899009
298,Jul-24,4909,0,899009
299,Oct-30,9922,0,899009
300,Aug-28,9893,0,899009
301,Oct-30,2601,0,899009
302,Sep-26,4126,0,899009
303,Jun-26,8952,0,899009
304,Jan-30,1226,0,899009
305,Apr-25,4234,0,899009
306,Jan-30,2105,0,899009
307,Oct-30,7453,0,899009
308,Feb-27,6184,0,899009
309,Feb-27,7387,0,899009
310,Mar-27,3755,0,899009
311,Jul-24,5742,0,899009
312,Jul-24,9800,0,899009
313,Jan-30,4458,1,899009
314,Apr-25,8485,1,899009
315,Oct-30,8987,0,899009
316,Jun-26,5742,0,899009
317,Jan-30,5473,0,899009
318,Jul-24,8952,0,899009
319,Apr-25,8410,1,899009
320,Apr-25,5357,0,899009
321,Jan-30,7197,0,899009
322,Mar-27,4434,0,899009
323,May-30,6200,0,899009
324,May-30,8410,0,899009
325,Jul-24,8218,0,899009
326,Aug-28,1561,0,899009
327,Apr-25,2229,0,899009
328,Jul-24,6200,0,899009
329,Jul-24,6379,1,899009
330,Jan-30,9897,0,922777
331,Feb-27,7387,0,922777
332,Oct-30,2601,0,922777
333,Jan-30,4458,0,922777
334,Mar-27,8809,0,922777
335,Mar-27,3755,0,922777
336,Jun-26,4234,0,922777
337,Feb-27,9237,0,922777
338,Jan-30,9953,0,922777
339,May-30,1320,0,922777
340,Jul-24,9800,0,922777
341,Aug-28,6379,0,922777
342,Apr-25,4234,0,922777
343,May-30,5742,0,922777
344,Aug-28,8952,0,922777
345,Sep-26,4126,0,922777
346,Sep-26,1561,0,922777
347,May-30,6200,1,922777
348,Apr-25,8485,1,922777
349,Feb-27,2247,0,922777
350,Oct-30,8987,0,922777
351,Sep-26,4234,0,922777
352,Sep-26,4807,1,922777
353,May-30,4909,1,922777
354,Jan-30,1226,0,922777
355,Jul-24,8218,0,922777
356,Aug-28,9492,1,922777
357,Feb-27,2923,0,922777
358,Jul-24,4234,0,922777
359,Mar-27,5919,0,922777
360,Mar-27,2852,0,922777
361,Jun-26,4245,0,922777
362,Sep-26,4308,0,922777
363,Feb-27,5843,0,922777
364,Jun-26,4326,0,922777
365,Jun-26,6200,0,922777
366,Jul-24,5742,0,922777
367,May-30,9893,0,922777
368,Jul-24,8952,0,922777
369,Feb-27,5951,0,922777
370,Jan-30,9469,0,922777
371,Mar-27,2923,0,922777
372,Jan-30,4275,0,922777
373,Aug-28,5925,0,922777
374,Sep-26,9893,0,922777
375,Jan-30,5788,0,922777
376,Apr-25,2229,1,922777
377,Feb-27,8407,0,922777
378,Jan-30,7197,0,922777
379,May-30,3246,0,922777
380,Apr-25,5172,0,922777
381,Feb-27,6184,0,922777
382,Jun-26,5742,0,922777
383,Apr-25,8410,1,922777
384,Jun-26,4909,0,1103855
385,Oct-30,9893,0,1103855
386,Jan-30,5473,0,1103855
387,May-30,6200,1,1103855
388,Aug-28,8952,0,1103855
389,Jul-24,6379,0,1103855
390,Jan-30,9953,0,1103855
391,Jul-24,4380,0,1103855
392,Mar-27,8952,0,1103855
393,Jul-24,8921,0,1103855
394,May-30,4909,0,1103855
395,Apr-25,1226,0,1103855
396,Sep-26,4807,0,1103855
397,Jul-24,9800,0,1103855
398,Jul-24,4234,0,1103855
399,Oct-30,9922,1,1103855
400,Sep-26,9893,0,1103855
401,Apr-25,1073,0,1103855
402,Oct-30,8952,0,1103855
403,Jul-24,8952,0,1103855
404,May-30,5742,0,1103855
405,Sep-26,4234,0,1103855
406,Mar-27,8809,1,1103855
407,Oct-30,2272,0,1103855
408,Feb-27,8407,0,1103855
409,Aug-28,6379,0,1103855
410,Sep-26,4308,0,1103855
411,Jun-26,4150,0,1103855
412,Mar-27,3755,0,1103855
413,Mar-27,2852,1,1103855
414,Sep-26,2601,0,1103855
415,Jun-26,5430,0,1103855
416,Jun-26,5742,0,1103855
417,Jan-30,9469,1,1103855
418,Apr-25,5172,0,1103855
419,Feb-27,7387,0,1103855
420,Apr-25,8485,1,1103855
421,Feb-27,2923,0,1103855
422,Aug-28,4234,0,1103855
423,Apr-25,2229,0,1103855
424,May-30,8410,0,1103855
425,Feb-27,6184,0,1103855
426,Mar-27,2631,0,1103855
427,Jun-26,8952,0,1103855
428,Oct-30,4234,0,1103855
429,Apr-25,4362,0,1103855
430,Aug-28,9893,0,1103855
431,Jun-26,6200,0,1103855
432,Feb-27,5843,0,1103855
433,Oct-30,2601,0,1103855
434,Mar-27,5919,0,1103855
435,Mar-27,2923,0,1103855
436,Jul-24,8218,0,1103855
437,Aug-28,4380,0,1103855
438,Jul-24,8921,1,1568403
439,Jun-26,6200,0,1568403
440,Jul-24,8218,0,1568403
441,Sep-26,9893,0,1568403
442,Feb-27,7697,0,1568403
443,May-30,3246,0,1568403
444,Apr-25,2229,1,1568403
445,Jan-30,1226,1,1568403
446,Jun-26,8952,0,1568403
447,Apr-25,5172,0,1568403
448,Jul-24,4234,0,1568403
449,Feb-27,2247,0,1568403
450,Mar-27,2631,0,1568403
451,Mar-27,3755,0,1568403
452,Sep-26,1561,0,1568403
453,Jul-24,6379,1,1568403
454,Mar-27,8962,0,1568403
455,Jun-26,5742,0,1568403
456,Oct-30,3792,0,1568403
457,Jul-24,5742,0,1568403
458,Jun-26,4326,0,1568403
459,Oct-30,2601,0,1568403
460,May-30,4909,0,1568403
461,Sep-26,4807,0,1568403
462,Feb-27,2923,0,1568403
463,Feb-27,5843,0,1568403
464,Mar-27,2923,0,1568403
465,Mar-27,4434,0,1568403
466,Jul-24,6200,0,1568403
467,Apr-25,1226,0,1568403
468,May-30,8410,0,1568403
469,Feb-27,5951,0,1568403
470,Jan-30,5788,0,1568403
471,Mar-27,5919,0,1568403
472,Apr-25,1073,0,1568403
473,May-30,6200,0,1568403
474,Sep-26,4126,0,1568403
475,Feb-27,8407,0,1568403
476,Aug-28,5925,0,1568403
477,Aug-28,8952,0,1568403
478,Oct-30,4234,0,1568403
479,Oct-30,2050,0,1568403
480,Aug-28,9492,0,1568403
481,May-30,5239,0,1568403
482,Aug-28,9893,0,1568403
483,Jun-26,4909,0,1568403
484,Jun-26,8218,0,1568403
485,Apr-25,8485,0,1568403
486,Oct-30,2272,0,1568403
487,Oct-30,8952,0,1568403
488,Jul-24,4909,0,1568403
489,Sep-26,4308,1,1568403
490,Aug-28,6379,0,1568403
491,Oct-30,9893,0,1568403
492,Jun-26,5430,0,1568403
493,May-30,5742,0,1568403
494,Apr-25,8410,1,1568403
495,Apr-25,4234,0,1568403
496,Apr-25,8952,0,1568403
497,Jan-30,2105,0,1568403
498,Oct-30,9922,0,1568403
499,Feb-27,5259,0,1716577
500,Oct-30,4234,0,1716577
501,Mar-27,8952,0,1716577
502,Feb-27,5843,0,1716577
503,Jan-30,9953,0,1716577
504,Sep-26,8952,0,1716577
505,Sep-26,9893,1,1716577
506,Oct-30,2601,0,1716577
507,Aug-28,4380,0,1716577
508,Jul-24,6200,1,1716577
509,May-30,8952,0,1716577
510,Mar-27,4434,0,1716577
511,May-30,6200,0,1716577
512,Jan-30,9897,1,1716577
513,Jan-30,5788,1,1716577
514,Jan-30,2105,0,1716577
515,Aug-28,4234,1,1716577
516,Jun-26,4245,0,1716577
517,Jun-26,4909,0,1716577
518,Jan-30,7197,0,1716577
519,Apr-25,8952,0,1716577
520,Feb-27,7697,0,1716577
521,May-30,5239,0,1716577
522,Sep-26,1561,1,1716577
523,Jun-26,5430,0,1716577
524,Mar-27,2631,0,1716577
525,Aug-28,8921,0,1716577
526,Oct-30,2272,0,1716577
527,May-30,8410,0,1716577
528,Feb-27,2247,0,1716577
529,Jul-24,9800,0,1716577
530,Aug-28,1561,0,1716577
531,Mar-27,2923,0,1716577
532,Jul-24,8952,0,1716577
533,Apr-25,8485,1,1716577
534,Apr-25,5357,0,1716577
535,May-30,4909,0,1716577
536,May-30,9893,0,1716577
537,Sep-26,4126,0,1716577
538,Jul-24,8921,0,1716577
539,Jun-26,4326,1,1716577
540,Mar-27,3755,0,1716577
541,Jun-26,8952,0,1716577
542,Jun-26,4234,0,1716577
543,Aug-28,5925,0,1716577
544,Mar-27,8962,0,1716577
545,Feb-27,7387,0,1716577
546,Aug-28,9492,0,1716577
547,Jun-26,8218,0,1716577
548,Oct-30,9893,0,1716577
549,Sep-26,2601,0,1716577
550,Feb-27,2923,0,1716577
551,Oct-30,2050,0,1716577
552,Aug-28,9893,0,1796062
553,Sep-26,4126,1,1796062
554,Feb-27,5259,0,1796062
555,Aug-28,5925,0,1796062
556,Sep-26,5326,0,1796062
557,May-30,1320,0,1796062
558,May-30,6200,0,1796062
559,Oct-30,7453,0,1796062
560,Jan-30,5788,0,1796062
561,Jun-26,4150,0,1796062
562,Mar-27,4434,0,1796062
563,Jul-24,6200,0,1796062
564,Sep-26,1561,0,1796062
565,Jan-30,9953,0,1796062
566,Sep-26,4234,1,1796062
567,May-30,8410,0,1796062
568,Aug-28,6379,0,1796062
569,Jul-24,8218,0,1796062
570,Aug-28,9492,1,1796062
571,Mar-27,2923,0,1796062
572,Mar-27,8962,0,1796062
573,Jul-24,8952,0,1796062
574,Feb-27,7387,0,1796062
575,May-30,4234,0,1796062
576,Feb-27,2923,0,1796062
577,Sep-26,8952,0,1796062
578,Jun-26,4326,0,1796062
579,Feb-27,2247,0,1796062
580,Aug-28,4380,0,1796062
581,Jun-26,4234,0,1796062
582,May-30,5742,0,1796062
583,Jun-26,5742,0,1796062
584,Aug-28,8987,0,1796062
585,Jun-26,8218,1,1796062
586,Mar-27,3755,0,1796062
587,Apr-25,1073,0,1796062
588,Jun-26,5430,0,1796062
589,Sep-26,4807,0,1796062
590,Oct-30,2272,0,1796062
591,Feb-27,8407,0,1796062
592,Sep-26,8987,0,1796062
593,Jan-30,7197,0,1796062
594,Sep-26,2601,0,1796062
595,Apr-25,8410,1,1796062
596,Jan-30,5473,0,1796062
597,May-30,3246,0,1796062
598,Jan-30,9897,0,1796062
599,Jan-30,9469,0,1796062
600,Mar-27,8809,0,1796062
601,May-30,8952,0,1796062
602,Apr-25,4234,0,1796062
603,Jul-24,5742,0,1796062
604,Apr-25,5357,0,1796062
605,Oct-30,4234,0,1796062
606,Apr-25,8952,0,1796062
607,Jul-24,4909,0,1796062
608,Aug-28,8921,1,1796062
609,Mar-27,2631,0,1796062
610,Jun-26,4909,0,1796062
611,Feb-27,5951,0,1796062
612,Jul-24,9800,0,1796062
613,Jun-26,4245,0,1796062
614,Sep-26,8952,0,2182320
615,Sep-26,4807,1,2182320
616,May-30,4909,0,2182320
617,Sep-26,4126,0,2182320
618,Sep-26,4234,0,2182320
619,Sep-26,8987,1,2182320
620,Mar-27,8952,0,2182320
621,Feb-27,2923,0,2182320
622,Apr-25,5357,0,2182320
623,May-30,1320,0,2182320
624,Apr-25,4362,0,2182320
625,Oct-30,8987,0,2182320
626,Mar-27,3755,0,2182320
627,Apr-25,2229,0,2182320
628,Feb-27,7697,0,2182320
629,Aug-28,8987,0,2182320
630,May-30,6200,0,2182320
631,Aug-28,9893,0,2182320
632,Mar-27,8809,1,2182320
633,May-30,5239,0,2182320
634,Jan-30,1226,0,2182320
635,Oct-30,2272,0,2182320
636,Apr-25,5172,0,2182320
637,Apr-25,1226,0,2182320
638,May-30,4234,1,2182320
639,Aug-28,4234,0,2182320
640,Mar-27,5919,0,2182320
641,Feb-27,7387,0,2182320
642,Sep-26,9893,0,2182320
643,Feb-27,5951,0,2182320
644,Apr-25,8952,0,2182320
645,Oct-30,9922,0,2182320
646,Jul-24,4909,0,2182320
647,Jun-26,4909,0,2182320
648,Oct-30,2601,1,2182320
649,Aug-28,1561,0,2182320
650,Jan-30,5788,0,2182320
651,Jan-30,4275,0,2182320
652,Mar-27,8962,0,2182320
653,May-30,9893,1,2182320
654,Aug-28,5925,0,2182320
655,Oct-30,7453,0,2182320
656,Jul-24,4380,0,2182320
657,Jun-26,8952,0,2182320
658,Sep-26,5326,0,2182320
659,Jul-24,9800,0,2182320
660,May-30,8952,0,2182320
661,Oct-30,9893,0,2182320
662,Aug-28,8921,0,2182320
663,Jun-26,5742,0,2182320
664,Oct-30,3792,1,2182320
665,Aug-28,8952,0,2182320
666,Sep-26,8952,0,2204339
667,Apr-25,5172,0,2204339
668,Mar-27,8809,1,2204339
669,Aug-28,4234,0,2204339
670,Sep-26,4234,0,2204339
671,Jan-30,4458,0,2204339
672,May-30,3246,0,2204339
673,Apr-25,2229,0,2204339
674,Sep-26,5326,0,2204339
675,Aug-28,9893,0,2204339
676,Oct-30,7453,0,2204339
677,Jan-30,2105,0,2204339
678,Jun-26,5742,0,2204339
679,Jul-24,4380,0,2204339
680,Feb-27,8407,0,2204339
681,Aug-28,8987,0,2204339
682,Oct-30,9893,0,2204339
683,Jul-24,8921,0,2204339
684,Jan-30,7197,1,2204339
685,Sep-26,9893,0,2204339
686,Feb-27,9237,0,2204339
687,Oct-30,2272,0,2204339
688,Mar-27,8952,0,2204339
689,Jun-26,5430,0,2204339
690,Apr-25,1073,0,2204339
691,Jun-26,4234,0,2204339
692,Jan-30,9953,0,2204339
693,May-30,5239,0,2204339
694,May-30,4234,1,2204339
695,Sep-26,2601,0,2204339
696,May-30,6200,0,2204339
697,Apr-25,8952,0,2204339
698,Oct-30,3792,0,2204339
699,Jun-26,8952,0,2204339
700,Sep-26,4126,0,2204339
701,Sep-26,4807,0,2204339
702,Aug-28,9492,0,2204339
703,Mar-27,4434,0,2204339
704,Oct-30,2601,1,2204339
705,Apr-25,8410,1,2204339
706,Jan-30,4275,0,2204339
707,Mar-27,3755,0,2204339
708,Mar-27,3755,1,2204339
709,Oct-30,9922,0,2204339
710,Oct-30,2050,0,2204339
711,Oct-30,4234,1,2204339
712,Mar-27,2631,0,2204339
713,Jun-26,8218,0,2204339
714,Jul-24,8218,0,2204339
715,Apr-25,5357,0,2204339
716,Aug-28,4380,0,2204339
717,Jul-24,8952,0,2204339
718,Feb-27,7697,0,2204339
719,Mar-27,2852,1,2204339
720,Mar-27,2923,0,2204339
721,Mar-27,8962,0,2204339
722,Sep-26,4308,0,2204339
723,May-30,8952,0,2204339
724,Jul-24,6379,0,2204339
725,Feb-27,5951,0,2204339
726,Apr-25,8485,0,2204339
727,Jan-30,1226,0,2204339
728,Jan-30,9953,0,2247004
729,Aug-28,8952,0,2247004
730,Sep-26,9893,0,2247004
731,Oct-30,3792,0,2247004
732,Oct-30,8952,0,2247004
733,Feb-27,5843,1,2247004
734,Oct-30,4234,0,2247004
735,May-30,4234,0,2247004
736,May-30,8952,0,2247004
737,Aug-28,4234,0,2247004
738,Jan-30,4275,0,2247004
739,Oct-30,8987,0,2247004
740,Sep-26,4234,0,2247004
741,Mar-27,3755,0,2247004
742,Aug-28,8987,1,2247004
743,Oct-30,9893,0,2247004
744,Jul-24,6379,1,2247004
745,Aug-28,9492,0,2247004
746,Feb-27,6184,0,2247004
747,Jul-24,4380,1,2247004
748,Mar-27,2631,0,2247004
749,Jun-26,4326,0,2247004
750,Aug-28,9893,0,2247004
751,Jul-24,5742,0,2247004
752,Jan-30,7197,0,2247004
753,Jun-26,4234,0,2247004
754,Aug-28,1561,0,2247004
755,May-30,5742,0,2247004
756,Oct-30,2601,0,2247004
757,Jun-26,5742,0,2247004
758,May-30,8410,0,2247004
759,Mar-27,8952,0,2247004
760,Jul-24,6200,1,2247004
761,Aug-28,4380,0,2247004
762,Feb-27,5951,0,2247004
763,Feb-27,8407,1,2247004
764,Mar-27,4434,0,2247004
765,Apr-25,1073,0,2247004
766,Jan-30,4458,0,2247004
767,Jan-30,2105,0,2247004
768,Mar-27,3755,0,2247004
769,Apr-25,8410,1,2247004
770,Apr-25,5357,1,2247004
771,Jul-24,4234,0,2247004
772,Apr-25,5172,1,2247004
773,May-30,5239,0,2247004
774,Mar-27,5919,0,2247004
775,Apr-25,4234,0,2247004
776,Feb-27,7697,0,2247004
777,Feb-27,5259,0,2247004
778,Sep-26,4807,0,2247004
779,Mar-27,8809,0,2247004
780,Sep-26,2601,0,2247004
781,Oct-30,9922,0,2247004
782,Sep-26,8952,0,2247004
783,Jan-30,2105,0,2570506
784,Oct-30,2601,0,2570506
785,Apr-25,8485,1,2570506
786,Oct-30,4234,1,2570506
787,Jun-26,4150,0,2570506
788,Jul-24,6200,0,2570506
789,Apr-25,5357,0,2570506
790,Jul-24,6379,1,2570506
791,May-30,4909,0,2570506
792,Sep-26,4807,0,2570506
793,May-30,5742,1,2570506
794,Jan-30,7197,0,2570506
795,Mar-27,2852,0,2570506
796,Oct-30,9893,0,2570506
797,Aug-28,9492,0,2570506
798,May-30,8410,0,2570506
799,May-30,5239,0,2570506
800,Jun-26,4245,0,2570506
801,Jan-30,5473,0,2570506
802,Feb-27,5843,1,2570506
803,Oct-30,9922,1,2570506
804,Jan-30,9953,0,2570506
805,Sep-26,5326,0,2570506
806,Jul-24,8952,0,2570506
807,Aug-28,1561,0,2570506
808,Sep-26,1561,0,2570506
809,Mar-27,5919,0,2570506
810,Apr-25,1073,0,2570506
811,Jun-26,5742,0,2570506
812,Jan-30,9469,0,2570506
813,Sep-26,8987,0,2570506
814,Mar-27,8952,0,2570506
815,Aug-28,6379,0,2570506
816,Feb-27,8407,1,2570506
817,Sep-26,9893,0,2570506
818,Apr-25,5172,0,2570506
819,Oct-30,2050,0,2570506
820,Jun-26,8218,1,2570506
821,Feb-27,2247,0,2570506
822,Aug-28,8952,0,2570506
823,May-30,8952,0,2570506
824,Jan-30,4458,0,2570506
825,Sep-26,4234,1,2570506
826,Aug-28,8921,0,2570506
827,May-30,6200,0,2570506
828,Oct-30,8952,0,2570506
829,Oct-30,7453,0,2570506
830,Jan-30,4275,0,2570506
831,Feb-27,5259,0,2570506
832,Apr-25,2229,0,2570506
833,Aug-28,8987,1,2570506
834,Jun-26,5430,0,2570506
835,Sep-26,8952,1,2570506
836,Feb-27,2923,0,2570506
837,Aug-28,4380,0,2570506
838,Jul-24,8218,0,2570506
839,Jul-24,9800,0,2570506
840,May-30,9893,0,2570506
841,Oct-30,3792,1,2657375
842,Aug-28,4234,0,2657375
843,Sep-26,8987,1,2657375
844,May-30,1320,1,2657375
845,Jun-26,4326,0,2657375
846,Apr-25,5172,1,2657375
847,Mar-27,2852,0,2657375
848,May-30,9893,0,2657375
849,Jul-24,8952,0,2657375
850,Feb-27,7387,0,2657375
851,Aug-28,8987,0,2657375
852,May-30,4234,0,2657375
853,Feb-27,7697,0,2657375
854,Jan-30,9469,0,2657375
